Frame	Time	NOD_1 Roll	NOD_1 Pitch	NOD_1 Yaw	NOD_1 Rot0	NOD_1 Rot1	NOD_1 Rot2	NOD_1 Rot3	NOD_1 Rot4	NOD_1 Rot5	NOD_1 Rot6	NOD_1 Rot7	NOD_1 Rot8	NOD_2 Roll	NOD_2 Pitch	NOD_2 Yaw	NOD_2 Residual	NOD_2 Rot0	NOD_2 Rot1	NOD_2 Rot2	NOD_2 Rot3	NOD_2 Rot4	NOD_2 Rot5	NOD_2 Rot6	NOD_2 Rot7	NOD_2 Rot8	NOD_3 Roll	NOD_3 Pitch	NOD_3 Yaw	NOD_3 Rot0	NOD_3 Rot1	NOD_3 Rot2	NOD_3 Rot3	NOD_3 Rot4	NOD_3 Rot5	NOD_3 Rot6	NOD_3 Rot7	NOD_3 Rot8	NOD_4 Roll	NOD_4 Pitch	NOD_4 Yaw	NOD_4 Rot0	NOD_4 Rot1	NOD_4 Rot2	NOD_4 Rot3	NOD_4 Rot4	NOD_4 Rot5	NOD_4 Rot6	NOD_4 Rot7	NOD_4 Rot8
1	0	-1.00767	0.32659	-0.38326	0.99996	-0.00679	-0.00558	0.00669	0.99982	-0.01762	0.0057	0.01759	0.99983	-1.46193	1.94399	-3.7289	0.23273	0.99731	-0.06588	-0.03218	0.065	0.9975	-0.02766	0.03392	0.0255	0.9991	-0.55346	0.19788	2.19934	0.99926	0.03834	-0.00382	-0.03838	0.99922	-0.00952	0.00345	0.00966	0.99995	0.31578	2.28139	-2.19756	0.99847	-0.03813	-0.03999	0.03831	0.99926	0.00398	0.03981	-0.00551	0.99919
2	0.01	-0.99246	0.29711	-0.38865	0.99996	-0.00687	-0.00507	0.00678	0.99983	-0.01736	0.00519	0.01732	0.99984	-1.47633	1.94899	-3.73506	0.22615	0.9973	-0.066	-0.03225	0.06511	0.99749	-0.02792	0.03401	0.02575	0.99909	-0.54921	0.17545	2.18346	0.99927	0.03807	-0.00342	-0.0381	0.99923	-0.00946	0.00306	0.00959	0.99995	0.3239	2.2778	-2.18597	0.99848	-0.03792	-0.03993	0.03811	0.99926	0.00413	0.03974	-0.00565	0.99919
3	0.02	-1.00629	0.31466	-0.39856	0.99996	-0.00705	-0.00537	0.00696	0.99982	-0.0176	0.00549	0.01756	0.99983	-1.46031	1.93187	-3.75535	0.21044	0.99729	-0.06633	-0.03196	0.06546	0.99747	-0.02764	0.03371	0.02547	0.99911	-0.54579	0.19107	2.19084	0.99926	0.03819	-0.0037	-0.03823	0.99922	-0.00939	0.00333	0.00953	0.99995	0.32121	2.28077	-2.18057	0.99848	-0.03783	-0.03998	0.03802	0.99927	0.00409	0.0398	-0.0056	0.99919
4	0.03	-1.02415	0.30738	-0.39732	0.99996	-0.00703	-0.00524	0.00693	0.99982	-0.01791	0.00536	0.01787	0.99983	-1.45593	1.95487	-3.74518	0.16209	0.99728	-0.06616	-0.03237	0.06528	0.99749	-0.02758	0.03411	0.02539	0.9991	-0.55419	0.18733	2.19983	0.99926	0.03835	-0.00364	-0.03838	0.99922	-0.00954	0.00327	0.00967	0.99995	0.03761	2.61958	-2.25648	0.99818	-0.03934	-0.04569	0.03933	0.99923	-0.00114	0.0457	-0.00066	0.99895
5	0.04	-1.03212	0.3282	-0.39546	0.99996	-0.007	-0.0056	0.0069	0.99981	-0.01805	0.00573	0.01801	0.99982	-1.42237	1.94364	-3.75604	0.16564	0.99728	-0.06633	-0.03221	0.06547	0.99749	-0.02699	0.03392	0.02481	0.99912	-0.55193	0.18689	2.19402	0.99926	0.03825	-0.00363	-0.03828	0.99922	-0.0095	0.00326	0.00963	0.99995	-0.00051	2.60545	-2.2026	0.99823	-0.03843	-0.04542	0.03839	0.99926	-0.00176	0.04546	0.00001	0.99897
6	0.05	-1.04545	0.3471	-0.38757	0.99996	-0.00687	-0.00593	0.00676	0.99981	-0.01829	0.00606	0.01825	0.99982	-1.45576	1.94368	-3.75967	0.1908	0.99727	-0.06641	-0.03217	0.06553	0.99747	-0.02757	0.03392	0.02539	0.9991	-0.55572	0.17947	2.18391	0.99927	0.03808	-0.0035	-0.03811	0.99923	-0.00957	0.00313	0.0097	0.99995	0.01215	2.58729	-2.20896	0.99824	-0.03853	-0.04512	0.0385	0.99926	-0.00153	0.04514	-0.00021	0.99898
7	0.06	-1.0376	0.35173	-0.40113	0.99996	-0.00711	-0.00601	0.007	0.99981	-0.01815	0.00614	0.01811	0.99982	-1.45876	1.96198	-3.73887	0.17208	0.99729	-0.06606	-0.03249	0.06517	0.99749	-0.02764	0.03424	0.02544	0.99909	-0.56315	0.17831	2.18458	0.99927	0.03809	-0.00348	-0.03812	0.99923	-0.0097	0.00311	0.00983	0.99995	0.0197	2.58855	-2.21076	0.99824	-0.03856	-0.04514	0.03854	0.99926	-0.0014	0.04516	-0.00034	0.99898
8	0.07	-1.02364	0.34369	-0.40065	0.99996	-0.0071	-0.00587	0.00699	0.99982	-0.01791	0.006	0.01786	0.99982	-1.44674	1.94055	-3.75724	0.16692	0.99728	-0.06636	-0.03212	0.06549	0.99748	-0.02741	0.03386	0.02523	0.99911	-0.54982	0.17423	2.18608	0.99927	0.03811	-0.0034	-0.03814	0.99923	-0.00947	0.00304	0.0096	0.99995	0.00721	2.60234	-2.19148	0.99824	-0.03823	-0.04538	0.0382	0.99927	-0.00161	0.0454	-0.00013	0.99897
9	0.08	-1.03734	0.34344	-0.40919	0.99996	-0.00725	-0.00586	0.00714	0.99981	-0.01815	0.00599	0.0181	0.99982	-1.46914	1.95038	-3.74213	0.17653	0.99729	-0.06612	-0.03228	0.06523	0.99748	-0.0278	0.03403	0.02562	0.99909	-0.55291	0.17882	2.18433	0.99927	0.03808	-0.00349	-0.03811	0.99923	-0.00952	0.00312	0.00965	0.99995	-0.00005	2.59835	-2.18146	0.99825	-0.03806	-0.0453	0.03803	0.99928	-0.00173	0.04533	0	0.99897
10	0.09	-1.02179	0.32619	-0.41159	0.99996	-0.00728	-0.00556	0.00718	0.99981	-0.01787	0.00569	0.01783	0.99982	-1.43549	1.94185	-3.77821	0.1737	0.99725	-0.06672	-0.03215	0.06586	0.99746	-0.02723	0.03389	0.02504	0.99911	-0.55198	0.19098	2.19448	0.99926	0.03826	-0.0037	-0.03829	0.99922	-0.0095	0.00333	0.00963	0.99995	0.00974	2.59007	-2.18638	0.99825	-0.03814	-0.04516	0.03811	0.99927	-0.00155	0.04519	-0.00017	0.99898
